Titulos,contenidos,Palabras claves
    Gestor de proyectos  ,"Profesional en áreas administrativas o de educación, con especialización en Gerencia o Gestión de Proyectos,  TIC, Informática Educativa,  Proyectos educativos mediados por TIC, innovación educativa, Educación o áreas afines. Con experiencia en manejo de gestión comercial y de ventas, trabajo por objetivos y cumplimiento de metas comerciales. Experiencia mínima  de  3 años en la gestión, acompañamiento, seguimiento y desarrollo de proyectos virtuales. ",                                E LEARNING                            
    Practicante tecnico o tecnólogo - tecnología y sistemas bogota  ,"¡En Unisys, Creemos en un futuro mejor!",                                practicante                            
    Coordinador administrador en salud - pasto  ,"¡Requerimos un Talento como el tuyo!  EPS, requiere para su equipo Medico   Especialista en Gerencia de Salud, Administración Hospitalaria, Auditoría Médica, Auditoría de Calidad y/o afines. ",                                coordinador gestión salud                            
    Técnico en atención pre hospitalario  ,"IPS de imágenes diagnosticas de la ciudad de Pereira, busca técnico en atención pre hospitalaria, con experiencia en el manejo de ambulancias y manejo de pacientes ambulatorios .Importane tener toda la documentación al día: atención a victimas de violencia sexual, RETHUS, atención integral a víctimas de ataques con agentes químicos y RCP. Contrato con todas las prestaciones de ley.  Sede de trabajo: Pereira, salario mínimo, mas prestaciones.        ",                                TAPH                            
    Auxiliar administrativo  ,"En Asesoftware seguimos creciendo y nos encontramos en la busqueda de nuestro porximo auxiliar administrativo responsable de llevar a cabo tareas administrativas y de apoyo en la oficina.  Puede incluir tareas como la gestión de correos electrónicos y llamadas telefónicas, la organización de archivos y documentos, proporcionar asistencia al personal de la empresa en actividades diarias que surjan en la compañia.",                                auxiliar administrativo                            
    Planeador de mantenimiento- parada de planta  ,"Importante empresa solicita Planeador de mantenimiento, con formación : PROFESIONAL EN INGENIERIAS O AFINES , INGENIERO ELECTROMECANICO, INGENIERIA DE ELECTRICIDAD, INGENIERO ELECTRICO, MECANICO, INSTRUMENTACION Y CONTROL con conocimiento en:",                                PLANEADOR DE MANTENIMIENTO                            
    Auxiliar administrativa (o) start up y aceleración - cali  ,"La Universidad ICESI, se encuentra en la búsqueda de Auxiliar Administrativa (o) de  Start Up y Aceleración quien tendrá la misión de: Apoyar a la Dirección del Área Startup y Aceleración del Centro de Desarrollo del Espíritu Empresarial - CDEE en el desarrollo de las diversas actividades y servicios que este presta a la comunidad en los procesos de creación de empresa, con el propósito de mejorar los resultados de incubación y aceleración empresarial, de acuerdo con las políticas institucionales y los lineamientos del CDEE. 	",                                apoyo administrativo                            
    ¡reconocida multinacional busca un/a analista de selección bilingüe!  ,"Buscamos a profesionales graduados en áreas administrativas o afines, con un nivel de inglés B2 o B2+ y 6 meses de experiencia en áreas de reclutamiento y selección. Deseable experiencia en entrevistas por competencias y Assessment Center.",                                Selección                            
    Analista tecnico/fullstack  ,"Importante empresa del sector de tecnologia requiere para su equipo de trabajo profesional titulado con tarjeta profesional deseable especialización  en carreras afines, Experiencia de 3 años  en proyectos de construcción de software, con rol de desarrollador. ",                                java                            
    Inspector de calidad o laboratorio  ,"Importante compañía del sector colchonero requiere para su equipo de trabajo tecnólogo o profesional en calidad o laboratorio, con experiencia mínima de 2 años en procesos de calidad y cumplimiento de estándares de la norma, debe contar con experiencia y curso vigente en metodología. ",                                inspector de calidad                            
    Auxiliar jardinero  ,"La Universidad Santo Tomas seccional Bucaramanga, requiere Jardinero para desempeñar funciones de mantenimiento de zonas verdes, manejo de herramientas como cortacesped, guadaña, sopladora, cortacetos. Con disponibilidad de desempeñar labores en los diferentes campus de la Universidad en el área Metropolitana, cumpliendo un horario de lunes a sábado.",                                Jardinero                            
    Supervisor de ventas tat-  chia  ,Oferta laboral en ZIPAQUIRÁ- COGUA- CAJICÁ- NEMOCÓN- UBATÉ- TOCANCIPÁ,                                supervisor tat                            
    Director técnico  ,"Importante empresa del sector farmacéutico requiere director tecnico que sea profesional químico farmacéutico, con experiencia en el sector de PRODUCCION FARMASEUTICA, con experiencia mínima de 3 AÑOS.",                                farmaceutico                            
    Practicante de psicología  ,"Estudiante de Psicología o carreras afines, con practicas a probadas mediante contrato de aprendizaje, para realizar sus practicas apoyando procesos de gestión humana (reclutamiento, selección, contratación, formación...). Horario l-v 7.30 am a 5 pm        ",                                practicante                            
    Odontologo director comercial  ,"Reconocido grupo  del sector Salud  requiere para integrar a su equipo DIRECTOR COMERCIAL  PARA CLINICA DENTAL. Para Planear, dirigir, liderar y controlar la fuerza de venta interna y externa . Debe contar con especialización en áreas afines. Experiencia de 3 años en Dirección Comercial.",                                coordinador                            
    Consultor/a sql server - sas  ,"Requerimos profesionales en Ingeniería de Sistemas, Electrónica o carreras afines, con experiencia de  3 años implementando proyectos de automatización de Campañas para clientes, productos, transacciones, canales y segmentos. Debe conocer sobre implementaciones de SAS, Administración de campañas desde CRM y herramientas de automatización de flujos a través de journeys. Manejo de datos a través de office, SQL Server.        ",                                ingeniero                            
    Analista de compras y logística con licencia b1 para guarne 1626313558.8  ,"Empresa de nutrición vegetal para el sector agro ubicada en Guarne, requiere para su equipo de trabajo analista de compras y logística con experiencia mínima de 2 años en el cargo.",                                Otra                            
    Enfermera (o)  soporte y capacitación  historia clinica sistematizada  ,"Importante Clínica  privada de alta complejidad , requiere  profesional en ENFERMERIA   deseable con  especialización  administrativa ( gerencia, auditoria)   con  experiencia mínima de 6  meses  en proyectos de parametrización, capacitación  de Historia Clínica  Sistematizada deseable  en la Herramienta SERVINTE CLINICAL SUITE",                                ENFERMERA JEFE                            
    Analista contable - experiencia en fiduciarias  ,"Red Bogotá,",                                contabilidad                            
    Analista soporte lt/ calidad 27001  ,"Sinergy Lowells empresa líder en tecnología  , requiere para su equipo de trabajo, Tecnico O tecnologo de sistermas, tecnologo estudiante de ultimo semestre ",                                27001                            
    Analista de investigación y desarrollo de productos  ,"¿Has trabajado en procesos relacionados con materias primas nuevas (análisis, rotulado, almacenamiento, etc)?",                                cosmeticos                            
    Profesional diseño industrial  ,"Buscamos profesionales en diseño industrial, ingeniería de diseño, diseño de espacios o carreras afines para el desarrollo de procesos de producción, integración y montajes de escenarios museográficos, experiencias interactivas y espacios de aprendizaje.",                                Diseño industrial                            
    Auxiliar contable  ,Queremos ampliar nuestro equipo de trabajo con rol de Auxiliar Contable. ,                                contador                            
    Comercial ejecutivo  ,"Ejecutiva comercial Regional Santanderes de tiempo completo, contratación en Bucaramanga ",                                comerciales                            
    Enfermero jefe de cultura y formacion  ,"Importante empresa del sector salud requiere para el equipo de trabajo, Enfermero jefe de cultura y formación. ",                                enfermeros                            
    We're looking for a bilingual quality analyst in barranquilla!  ,What are we looking for?,                                quality                            
    Coordinador de oficina - armenia-rs-012356  ,"Importante empresa aseguradora de salud requiere para su equipo de trabajo COORDINADOR DE OFICINA debe ser profesional en áreas de salud, administrativas, mercadeo, ingenierías, o áreas afines, con especialización en áreas administrativas o áreas administrativas de salud, debe contar con tres (3) años de experiencia mínimo de 1 año en área de Servicio al cliente, administrativa y comercial, manejo de equipos de trabajo y clientes difíciles, implementación de herramientas de seguimiento, manejo de indicadores y estrategias de mejoramiento. Manejo de Herramientas Ofimáticas y paquete office, control y seguimiento de proceso de servicio, análisis y control de indicadores de gestión e indicadores comerciales con conocimientos y habilidades para conformar equipos de ventas altamente productivos, capacidad para analizar las habilidades comerciales en los vendedores, conocimiento de normatividad vigente Conocimiento de la ley 100, negociación y manejo de conflictos.",                                coordinador                            
    Montacarguista  ,"Tecnico en inventarios, logistica y/o carreras afines con conocimientos y certificado en Manejo y operación de montacargas ,control de inventarios        ",                                tecnico                            
    Comercial it  ,"Técnico, tecnólogo, estudiante o profesional en carreras de comercio.",                                comercio                            
    Asistente administrativo sogomaso  ,"Empresa de tecnología con presencia a nivel regional esta en la búsqueda de un Asistente administrativo  en Sogamoso  presencial ,tecnologo o profesional  recien graduado en áreas  contables y/o administrativas al menos 1 año de experiencia en procesos de facturación, presupuesto, contabilidad base, órdenes de salida, informes y pagos.El perfil contará con experiencia funcional en SAP ERP para desarrollar las actividades propias del cargo.        ",                                facturación                            
    Asesor comercial medicina prepagada  ,"Importante entidad de salud con presencia nacional e internacional  requiere de manera urgente Bachiller, Técnico o Tecnólogo  en carreras administrativas, para ocupar el cargo de Asesor comercial. Debe contar con Experiencia  mínima de 1 año en ventas tangibles e intangibles.",                                ventas                            
    Gerente administrativo y comercial  ,Nos encontramos en la búsqueda de un líder estratégico para la Gerencia general de importante compañía del sector Agrícola.,                                Gerente administrativo y comercial                            
    Asesor/a integral pereira  ,Únete a nuestra comunidad de talentos ,                                Asesor                            
    Enfermera de gestion del riesgo  ,"Importante clínica  ubicada en el norte de la ciudad, requiere, profesional en enfermería especialista en epidemiologia, exp min 1 año en el cargo de enfermera de gestión de riesgo o cargos afines.",                                ENFERMERA ESPECIALISTA                            
    Operador de planta  ,"Importante empresa productora certificado en Colombia, para la venta de refrigerante Automotriz, para el consumo de las flotas, sistemas de transporte masivo y motores diésel con motores Euro 4, 5 y 6, requiere para su cede en Bogotá (Autopista medelllin Cl 80, km 7, Cundinamarca) un Operador de Planta.",                                Operador de planta                            
    Asesor comercial interno barrancabermeja  ,"Importante empresa  Financiera requiere para su equipo de trabajo tecnólogo y/o profesional en carreras administrativas, financieras, comerciales o afines, experiencia mínima de 2 años en el manejo de productos y servicios del sector, Debe tener conocimiento en asesoría a los clientes, captación de nuevos clientes, venta de portafolio financiero, entre su funciones se encuentra el Cumplimiento de metas comerciales, Asegurar la calidad del producto y del servicio ofertado. Horarios: Lunes a Sábado. Salario: 1.500.000 + prestaciones.        ",                                asesoria                            
    Ingeniero sst  ,Importante compañía del sector colchonero requiere para su equipo de trabajo mínimo tecnico enfocado en sst con experiencia mínima de 3 años en todos los procesos de seguridad y salud en el trabajo con licencia HSQ vigente ,                                tecnico en sst                            
    Asesor comercial interno barrancabermeja  ,"Importante empresa  Financiera requiere para su equipo de trabajo tecnólogo y/o profesional en carreras administrativas, financieras, comerciales o afines, experiencia mínima de 2 años en el manejo de productos y servicios del sector, Debe tener conocimiento en asesoría a los clientes, captación de nuevos clientes, venta de portafolio financiero, entre su funciones se encuentra el Cumplimiento de metas comerciales, Asegurar la calidad del producto y del servicio ofertado. Horarios: Lunes a Sábado. Salario: 1.500.000 + prestaciones.        ",                                asesoria                            
    Almacenista de construcción- cajica  ,¡Buscamos el mejor talento!,                                almacenistas                            
    Tecnico de soporte sogamoso  ,"Empresa de tecnología con presencia a nivel regional esta en búsqueda  de un analista de soporte para Sogamoso, técnico o tecnologo en sistemas o carreras afines con minimo un año de experiencia en soporte presencial a usuario final, manejo  casos que le son escalados por el analista de mesa de ayuda.        ",                                soporte en sitio                            
    Auditor senior  ,"Importante Empresa  busca Auditor  Senior para trabajar fuera de Bogotá, municipios aledaños.  Profesional Graduado en Ingeniería Industrial, Administración de empresas, Contaduría Pública (No Estudiantes). Experiencia mínima de 5 años.   Conocimientos en todos los procesos organizacionales, experiencia en compras y procesos logísticos organizacionales, organizada, con ganas de incursionar en las áreas de auditoría y procesos.  ",                                auditoras                            
    Auxiliar de admisiones  ,"Importante y reconocida clinica ubicada en el norte de la ciudad, requiere, tec o tecnologo aux administrativo en salud o auxiliar de enfermeria. Exp min 1 año reciente como auxiliar de admisiones.",                                AUXILIAR DE ADMISIONES                            
    Asesor comercial pac- 12302-manizales  ,"Importante empresa del sector salud requiere bachiller con experiencia mínima de 1 año en venta y comercialización de servicios o productos intangibles preferiblemente en aseguradoras, medicina prepagada, EPS o planes voluntarios de salud; prospección y relacionamiento con clientes empresariales, capacidad para comunicarse asertivamente con grupos de interés, habilidades para utilizar exitosamente modelos comerciales y de venta consultivo, conocimientos específicos y habilidades técnicas, manejo de herramientas comerciales, manejo básico de herramientas de office, tipo de contrato: indefinido. Salario: $ 1.526.000.oo+ Comisiones prestacionales sin techo.        ",                                comercial                            
    Auditor academico  ,¡Trabaja con nosotros!,                                auditor                            
"    Analista logistico calle 80, funza, madrid, mosquera  ",Importante compañía del sector de telecomunicaciones requiere para su equipo de trabajo Analista de logística que tenga experiencia,                                logistica                            
    Analista contable 1626037973.42  ,"Reconocida empresa de comercio de ropa y artículos de moda, requiere incorporar a su equipo de trabajo un Tecnólogo en contabilidad o estudiante de mínimo 6° semestre de contaduría pública. Debe contar al menos con 12 meses de experiencia en la parte contable. ",                                Otra                            
    Administrador de punto de venta cartagena  ,"Importante compañía del sector colchonero requiere para su equipo de trabajo administrador punto de venta o líder de tienda con experiencia minima de 1 año con conocimiento en caja menor, facturación tipo pos, manejo de personal, manejo de presupuesto, entre otras",                                lider de tienda                            
    Auxiliar de mantenimiento - mecanico  ,"Importante empresa del sector Industrial, esta en búsqueda de 1 Técnologo en carreras mecánicas, mecatrónicas, electromecánicas, mantenimiento industrial y/o afines, con experiencia mínima de 2 año en procesos de mantenimiento mecánico.",                                mantenimiento                            
    Auxiliar de farmacia  ,Auxiliar de farmacia - Chia,                                auxiliar de drogueria                            
    Gerente de proyectos ti ecommerce - hibrido bogotá  ,Actualmente en Zemsania nos encontramos en búsqueda de Gerente proyectos IT –  E- Commerce – Hibrido Bogotá.,                                e-commerce                            
    Aprendiz sena contabilidad (bogotá)  ,Para participar haz clic en el siguiente link: https://idtalento.net/rhnh2,                                aprendiz                            
    Auxiliar comercio exterior - ipiales  ,"Empresa comercializadora, de operaciones de transporte y logística requiere para su equipo de trabajo Auxiliar de comercio exterior para desempeñar las funciones operativas de la elaboración de los documentos propios de agendamiento aduanero y así mismo controlar que la documentación se encuentre completa, además de asistir las labores de los procesos del área. ",                                comercio exterior                            
    Coordinador administrativo  ,¿Eres apasionado por la educación? ,                                Coordinador administrativo                            
    Líder de bacteriología  ( toma de muestras ) -  cali  ,"Nos encontramos en la búsqueda de Líder de Bacteriología para trabajar en nuestro centro médico ubicado en la ciudad de Cali barrio San Fernando, con atención a pacientes de Plan Obligatorio de Salud. ",                                bacteriologas                            
    Director financiero  ,"Dirigir, administrar y controlar la estrategia financiera de la empresa, para alcanzar las metas y los objetivos definidos por Renting Automayor para los procesos de planeación financiera (presupuesto de gastos e inversiones) y de tesorería, dentro del marco de la normatividad, las políticas y los procedimientos, con el fin de cumplir con los compromisos para cubrir los gastos y los costos derivados de la actividad de la empresa y asegurar que se cuente con el capital necesario para optimizar inversiones y obtener ganancias para nuestros accionistas.        ",                                Director Financiero                            
    Auxiliar de nomina  ,"Importante empresa del sector Hotelero, requiere para el área de Gestión Humana, persona con experiencia mínima de 2 años manejando nómina en empresas de más de 100 empleados, que sea Estudiante universitario de contaduría, Técnico ó Tecnólogo en Carreras como Contaduría Pública, Administración de Personal y/o afines. Debe tener conocimientos intermedios en Excel.",                                analista                            
    Aprendiz sena gestión administrativa (bogotá)  ,Para participar haz clic en el siguiente link: https://idtalento.net/rhnh2,                                aprendiz                            
    Auxiliar de contabilidad  ,Reconocida empresa comercializadora de productos de consumo masivo requiere Técnico en contabilidad con 1 año de experiencia en el cargo en áreas contables y conocimientos en estándares de contabilidad NIIF y Excel Intermedio.        ,                                Contabilidad                            
    Auxiliar de enfermeria en hospitalización  ,"La Clínica Eusalud requiere para su equipo de trabajo Auxiliar de enfermería en hospitalización, Se labora en nuestra Sede Materno Infantil. Persona que cuente con la experiencia en los servicios de hospitalización y ginecoobstetricia, con orientación al servicio, oportuno, empático y responsable. requisitos:  tener cursos actualizados en (BLS, atención en salud a victimas de violencia sexual, enfoque en humanización y manejo del duelo). Horario: Lunes a viernes de 12:30 p.m - 7:00 p.m  Sábados / domingos de 6:30 a.m - 7:30 p.m  Salario: 1'299.806 + 140.666 = 1'440.412        ",                                auxiliar de enfermeria                            
    Lijadores  ,LIJADORES  MUEBLES MADERA  SE NECESITA. EXPERIENCIA MÍNIMO UN AÑO.        ,                                LIJADORES                            
    Rector educativo  ,"RECTOR EDUCATIVO HOMBRE INSTITUCIÓN OCCIDENTE DE BOGOTÁ,  AMPLIA EXPERIENCIA ACADÉMICA, ADMISTRATIVA, GERENCIA EDUCATIVA.        ",                                RECTOR EDUCATIVO                            
    Asesora vendedora tat  ,"Requiero vendedora tat con experiencia en el sector de consumo masivo para la localidad de Kennedy, distribuimos los productos de Nestlé de Colombia.        ",                                asesora                            
"    Aprendiz sena o practicante de tecnólogo industrial, producción, químico, calidad - o afines, bogotá  ","Compañía dedicada a la producción de vidrios de seguridad automotriz, se encuentra en la búsqueda de estudiantes que estén finalizando su ciclo tecnólogo, con el propósito de realizar sus practicas académicas en el cargo de practicante de excelencia operacional, laboratorio, SGC, entre otros.",                                practicante                            
    Visitador médico bogotá  ,"Importante Laboratorio farmacéutico requiere para el desarrollo de sus labores Visitador Médico para el área comercial, los requisitos para aplicar a la vacante son: Ser Profesional Titulado en carreras de del sector salud o administrativas y tener mínimo 2 años de experiencia en el rol comercial, manejo de paquete Office, habilidades comerciales.",                                ventas                            
    Profesionales de salud - teletrabajo (urgente - contratación inmediata)  ,"Importante Compañía de Medicina Prepagada requiere Enfermeros Jefe, bacteriólogos, terapeutas, fonoaudiólogos con 1 año de experiencia en procesos asistencial,  o de orientación médica telefónica. Horarios de domingo a domingo  turnos de 8 horas horarios rotativos con un día de descanso a la semana  (Rotativo también día de descanso, finde semana o entre semana). Todas las prestaciones de ley, mas recargos correspondientes. Contrato directo por la empresa. Disponibilidad para vinculación inmediata. Salario $ 2.400.000  Solo Bogotá. Modalidad de Tele trabajo 100%        ",                                Enfermería                            
    Auxiliar de soporte técnico  ,"mpresa del sector telecomunicaciones, se encuentra en la búsqueda para completar su equipo de trabajo, bachiller técnico en carreras de electrónica, telecomunicaciones, telemática y carreras afines,  con mínimo 6 meses a 1 año de experiencia en proyectos de ingeniería, soporte técnico  y manejo de sistemas operativos, con conocimientos de Excel básico. ",                                soporte tecnico                            
    Ingeniero de proyectos  ,"Importante Empresa del sector manufacturero se encuentra en búsqueda de Ingeniero con conocimientos técnicos en obra, montajes de redes hidráulicas, civiles y/o eléctricas, preferiblemente con conocimiento en redes contra incendios. Con contrato de trabajo a termino indefinido directo con la Empresa con todas las prestaciones de Ley y afiliaciones a la Seguridad Social.        ",                                supervisor                            
    Rs-012325 - asesor de servicio al cliente - dibulla  ,"Importante Empresa del Sector Salud requiere técnico o estudiante de pregrado en carreras de salud, administrativas y/o afines. Experiencia mínima de 6 meses  en el sector salud en servicio al cliente en EPS, IPS O ESE, experiencia en el direccionamiento adecuado para resolver situaciones difíciles en la atención al usuario, manejo de protocolo y servicio al cliente y conocimiento en normatividad vigente, conocimiento en manejo de herramientas ofimáticas (Word, Excel), nivel básico.",                                Auxiliar de enfermeria                            
    Auxiliar oficina i - bogota (alimentos y bebidas)  ,Si quieres ser parte de una de las compañías más innovadoras y quieres transformar positivamente la vida de las personas. ¡Esta Oportunidad es para Ti!?Estamos en búsqueda de Auxiliar Oficina I - Catering (ALIMENTOS Y BEBIDAS),                                AUXILIAR OFICINA I                            
